sa1,hhcd_2_digit_level,count,pct
2122605,Lone person household,69,25.2
2122606,Lone person household,94,32.9
2122607,Lone person household,45,24.1
2122608,Lone person household,57,25.7
2122609,Lone person household,34,19.1
2122610,Lone person household,41,32.3
2122611,Lone person household,17,18.9
2122612,Lone person household,39,22.2
2122613,Lone person household,45,22.6
2122614,Lone person household,38,24.1
2122615,Lone person household,49,30.4
2122617,Lone person household,25,22.9
2122901,Lone person household,32,19.9
2122902,Lone person household,52,24.5
2122903,Lone person household,34,25
2122904,Lone person household,26,20.5
2122905,Lone person household,9,9.3
2122906,Lone person household,21,12
2122907,Lone person household,23,19.2
2122908,Lone person household,44,18.4
2122909,Lone person household,41,21.2
2122910,Lone person household,22,15.4
2122911,Lone person household,23,13.9
2122912,Lone person household,26,25.5
2122913,Lone person household,12,11.7
2122914,Lone person household,15,9.4
2122915,Lone person household,7,11.3
2122916,Lone person household,12,10.5
2122917,Lone person household,35,21.6
2122918,Lone person household,52,26.8
2122919,Lone person household,34,27.4
2122920,Lone person household,9,8.7
2122921,Lone person household,49,21.6
2122922,Lone person household,30,20.3
2122923,Lone person household,41,20.6
2122924,Lone person household,26,13.8
2122925,Lone person household,18,24.3
2122926,Lone person household,52,25.9
2122927,Lone person household,47,25.1
2122928,Lone person household,22,15.4
2122929,Lone person household,38,20.3
2122930,Lone person household,42,25.1
2122931,Lone person household,24,22.9
2122932,Lone person household,17,19.1
2122933,Lone person household,26,18.4
2122934,Lone person household,15,13.8
2122935,Lone person household,45,22.4
2122936,Lone person household,34,33.7
2122937,Lone person household,25,18.9
2122938,Lone person household,60,23.9
2122939,Lone person household,30,17.6
2122940,Lone person household,51,25.5
2122941,Lone person household,23,17.2
2122942,Lone person household,10,12
2122943,Lone person household,51,11.2
2122944,Lone person household,25,19.4
2122945,Lone person household,23,16.2
2122946,Lone person household,30,21
2122947,Lone person household,28,17.4
2122948,Lone person household,18,17.3
2122949,Lone person household,15,11.1
2122950,Lone person household,21,16.8
2122951,Lone person household,23,15
2122952,Lone person household,36,19.4
2122953,Lone person household,27,18.9
2122954,Lone person household,54,24.2
2122955,Lone person household,30,26.5
2122957,Lone person household,24,24.2
2122958,Lone person household,16,19.8
2122959,Lone person household,10,10.5
2122960,Lone person household,23,18.4
2122961,Lone person household,30,24.2
2122962,Lone person household,23,13.7
2122963,Lone person household,22,18
2122964,Lone person household,36,25
2123001,Lone person household,45,25.9
2123002,Lone person household,15,11.5
2123003,Lone person household,37,27.8
2123004,Lone person household,55,32.7
2123005,Lone person household,30,19.4
2123006,Lone person household,39,20.3
2123007,Lone person household,50,31.2
2123008,Lone person household,53,30.3
2123009,Lone person household,36,21.1
2123010,Lone person household,69,36.1
2123011,Lone person household,35,21.5
2123012,Lone person household,23,12.6
2123013,Lone person household,32,25.8
2123014,Lone person household,20,15.3
2123015,Lone person household,31,20.5
2123016,Lone person household,29,20.7
2123017,Lone person household,46,47.4
2123101,Lone person household,33,21.7
2123102,Lone person household,24,13.4
2123103,Lone person household,22,18.8
2123104,Lone person household,44,20.3
2123105,Lone person household,37,28
2123106,Lone person household,22,15.2
2123107,Lone person household,47,26.4
2123108,Lone person household,31,20.4
2123109,Lone person household,28,16.3
2123110,Lone person household,10,12.8
2123111,Lone person household,25,14.5
2123112,Lone person household,13,14.4
2123113,Lone person household,31,15.1
2123114,Lone person household,19,21.6
2123115,Lone person household,18,14.4
2123116,Lone person household,17,14
2123117,Lone person household,28,15.6
2123118,Lone person household,13,12.7
2123119,Lone person household,16,14.7
2123120,Lone person household,50,27.8
2123121,Lone person household,29,19.7
2123122,Lone person household,40,19
