sa1,lone_pers_hh,count,pct
2122930,Lone person household,42.0,25.1
2122931,Lone person household,24.0,22.9
2122932,Lone person household,17.0,19.1
2122933,Lone person household,26.0,18.4
2122934,Lone person household,15.0,13.8
2122935,Lone person household,45.0,22.4
2122936,Lone person household,34.0,33.7
2122937,Lone person household,25.0,18.9
2122938,Lone person household,60.0,23.9
2122939,Lone person household,30.0,17.6
2122940,Lone person household,51.0,25.5
2122941,Lone person household,23.0,17.2
2122942,Lone person household,10.0,12.0
2122943,Lone person household,51.0,11.2
2122944,Lone person household,25.0,19.4
2122945,Lone person household,23.0,16.2
2122946,Lone person household,30.0,21.0
2122947,Lone person household,28.0,17.4
2122948,Lone person household,18.0,17.3
2122949,Lone person household,15.0,11.1
2122950,Lone person household,21.0,16.8
2122951,Lone person household,23.0,15.0
2122952,Lone person household,36.0,19.4
2122953,Lone person household,27.0,18.9
2122954,Lone person household,54.0,24.2
2122955,Lone person household,30.0,26.5
2122957,Lone person household,24.0,24.2
2122958,Lone person household,16.0,19.8
2122959,Lone person household,10.0,10.5
2122960,Lone person household,23.0,18.4
2122961,Lone person household,30.0,24.2
2122962,Lone person household,23.0,13.7
2122963,Lone person household,22.0,18.0
2122964,Lone person household,36.0,25.0
2123001,Lone person household,45.0,25.9
2123002,Lone person household,15.0,11.5
2123003,Lone person household,37.0,27.8
2123004,Lone person household,55.0,32.7
2123005,Lone person household,30.0,19.4
2123006,Lone person household,39.0,20.3
2123007,Lone person household,50.0,31.2
2123008,Lone person household,53.0,30.3
2123009,Lone person household,36.0,21.1
2123010,Lone person household,69.0,36.1
2123011,Lone person household,35.0,21.5
2123012,Lone person household,23.0,12.6
2123013,Lone person household,32.0,25.8
2123014,Lone person household,20.0,15.3
2123015,Lone person household,31.0,20.5
2123016,Lone person household,29.0,20.7
2123017,Lone person household,46.0,47.4
2123101,Lone person household,33.0,21.7
2123102,Lone person household,24.0,13.4
2123103,Lone person household,22.0,18.8
2123104,Lone person household,44.0,20.3
2123105,Lone person household,37.0,28.0
2123106,Lone person household,22.0,15.2
2123107,Lone person household,47.0,26.4
2123108,Lone person household,31.0,20.4
2123109,Lone person household,28.0,16.3
2123110,Lone person household,10.0,12.8
2123111,Lone person household,25.0,14.5
2123112,Lone person household,13.0,14.4
2123113,Lone person household,31.0,15.1
2123114,Lone person household,19.0,21.6
2123115,Lone person household,18.0,14.4
2123116,Lone person household,17.0,14.0
2123117,Lone person household,28.0,15.6
2123118,Lone person household,13.0,12.7
2123119,Lone person household,16.0,14.7
2123120,Lone person household,50.0,27.8
2123121,Lone person household,29.0,19.7
2123122,Lone person household,40.0,19.0
